proposer_index,slot,declared_client
0,599174,undecided
6004,638736,teku
714,561546,undecided
11381,30266,undecided
18555,541806,prysm
16083,496042,undecided
20869,547339,prysm
69403,618718,undecided
29995,666698,undecided
5924,671023,teku
29449,641783,undecided
32980,653041,undecided
55950,377854,undecided
20735,653836,lighthouse
1002,659547,undecided
31980,638066,undecided
35823,384857,lighthouse
20179,474277,prysm
23830,427272,undecided
41944,577852,lighthouse
68895,577020,undecided
14597,637145,prysm
32519,444898,undecided
30852,172270,undecided
38324,614566,undecided
1813,668454,lighthouse
56215,301270,undecided
11548,65225,undecided
37374,649789,undecided
952,608943,undecided
55709,469011,prysm
56554,464571,undecided
23731,553165,undecided
70972,477055,undecided
23610,650300,undecided
32367,462345,undecided
7516,644734,undecided
10697,313903,undecided
69892,670398,undecided
20834,462508,prysm
1119,492562,lighthouse
75649,659260,undecided
915,655619,undecided
51025,635403,undecided
24937,605291,undecided
55194,670931,undecided
5995,645106,teku
4369,435600,lighthouse
39614,615365,undecided
14845,428163,prysm
5810,667065,teku
21169,502035,prysm
20879,457630,undecided
47166,653859,undecided
64365,664762,undecided
47342,480540,undecided
24837,624200,undecided
43229,656097,prysm
33950,660171,undecided
34834,474761,undecided
51617,561986,undecided
52504,638831,undecided
107,610191,undecided
39242,484518,undecided
30295,605352,undecided
26140,266798,prysm
59401,661875,undecided
25464,245191,nimbus
20524,497826,teku
72638,606440,undecided
41633,650242,undecided
4606,346213,undecided
1360,497471,lighthouse
48950,616418,undecided
17623,498799,undecided
45143,650068,lighthouse
11172,610355,undecided
34911,641555,undecided
12268,576635,undecided
51402,638898,undecided
49392,654095,teku
33126,614424,undecided
45973,564538,undecided
64227,496178,undecided
41866,629834,undecided
51269,598730,undecided
13567,451598,undecided
34015,378837,undecided
4875,630351,teku
17817,493258,prysm
15962,425555,prysm
59150,636699,undecided
28267,630515,prysm
10757,265929,undecided
5401,36021,undecided
4599,644822,teku
43326,642799,undecided
33279,412502,undecided
1974,526988,lighthouse
7625,602802,undecided
5349,464471,prysm
59572,662687,undecided
10916,344157,teku
6647,478575,prysm
20760,375179,lighthouse
34942,499357,undecided
27498,275870,undecided
56550,374709,undecided
28226,638019,prysm
7499,659302,undecided
20801,449306,prysm
7522,569221,undecided
39857,638699,nimbus
17172,474515,lighthouse
5980,612620,teku
14634,647349,undecided
5841,499953,teku
59422,639158,undecided
29279,622482,undecided
43722,546207,undecided
47482,572119,prysm
14440,441858,undecided
15963,492584,undecided
1092,517832,lighthouse
58015,323505,undecided
64140,647593,undecided
38115,578713,undecided
31530,640970,undecided
40801,620112,undecided
58969,636131,undecided
49384,657087,teku
4179,406984,lighthouse
17864,391115,prysm
28830,636512,undecided
7200,563719,undecided
52285,571643,lodestar
11786,591788,undecided
10179,94345,undecided
62568,518821,undecided
49877,505087,teku
6976,91962,undecided
34961,624268,undecided
20759,466440,prysm
46302,586978,undecided
16774,480041,undecided
7993,664720,undecided
124,667844,undecided
447,609627,undecided
56036,509212,undecided
4547,650264,undecided
19100,437411,prysm
38575,650168,undecided
7127,660312,undecided
41579,669543,undecided
33196,613593,undecided
33863,623957,undecided
42688,482469,undecided
15664,639947,undecided
37965,554435,undecided
26877,465628,prysm
3225,37656,undecided
42620,666929,prysm
18940,518953,prysm
24650,628329,undecided
27206,520199,prysm
70393,608682,undecided
43633,616872,undecided
16745,470991,undecided
17126,418072,lighthouse
7394,477773,undecided
42591,635514,prysm
7528,378691,undecided
74095,643148,undecided
493,663364,undecided
1596,498442,lighthouse
11173,598623,undecided
2433,285234,undecided
35665,346769,lighthouse
25210,535076,undecided
2684,656032,undecided
23096,586178,prysm
12531,5422,undecided
33917,636004,undecided
11716,593490,undecided
18075,668215,undecided
43319,497791,prysm
15347,627608,prysm
27835,603644,prysm
8501,426485,nimbus
14949,619129,undecided
14068,665294,undecided
68049,462719,lighthouse
46142,662989,undecided
4454,496736,undecided
59403,635826,undecided
45630,653389,undecided
28513,477547,undecided
1865,454936,lighthouse
8417,450924,nimbus
29580,493422,undecided
63074,499869,undecided
15187,270740,undecided
10491,360571,undecided
